,Churn,Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device
0,1,4.0,3.0,6.0,2,0,3.0,3.0,3,2.0,2,9.0,1.0,11.0,1.0,5.0,160.0,1
1,1,0.0,1.0,8.0,4,1,3.0,4.0,2,3.0,2,7.0,1.0,15.0,0.0,0.0,121.0,1
3,1,0.0,3.0,15.0,2,1,2.0,4.0,3,5.0,2,8.0,0.0,23.0,0.0,3.0,134.0,1
4,1,0.0,1.0,12.0,1,1,2.0,3.0,2,5.0,2,3.0,0.0,11.0,1.0,3.0,130.0,1
6,1,2.0,3.0,11.0,0,1,2.0,3.0,3,2.0,0,4.0,0.0,14.0,0.0,0.0,121.0,1
7,1,0.0,1.0,6.0,1,1,3.0,3.0,2,2.0,0,3.0,1.0,16.0,2.0,0.0,123.0,1
8,1,13.0,3.0,9.0,3,1,2.0,4.0,2,3.0,0,2.0,1.0,14.0,0.0,2.0,127.0,1
9,1,0.0,1.0,31.0,2,1,2.0,5.0,2,3.0,2,2.0,0.0,12.0,1.0,1.0,123.0,1
11,1,11.0,1.0,6.0,2,1,3.0,4.0,0,3.0,2,10.0,1.0,13.0,0.0,0.0,154.0,1
13,1,0.0,1.0,15.0,1,1,3.0,4.0,2,3.0,0,1.0,1.0,17.0,0.0,0.0,134.0,1
14,1,9.0,3.0,15.0,1,1,3.0,4.0,0,2.0,2,2.0,0.0,16.0,0.0,7.0,196.0,1
16,1,0.0,1.0,12.0,2,0,3.0,4.0,2,2.0,2,2.0,1.0,18.0,1.0,0.0,129.0,0
17,1,99.0,3.0,11.0,3,1,2.0,4.0,3,3.0,2,2.0,1.0,11.0,1.0,3.0,157.0,1
18,1,0.0,1.0,13.0,2,1,3.0,5.0,3,3.0,2,2.0,1.0,24.0,1.0,6.0,161.0,0
21,1,20.0,1.0,29.0,1,0,3.0,3.0,0,2.0,0,2.0,0.0,12.0,11.0,6.0,203.0,1
22,1,0.0,3.0,28.0,3,1,2.0,3.0,2,3.0,2,2.0,1.0,19.0,0.0,0.0,117.0,1
24,1,14.0,1.0,14.0,2,1,2.0,5.0,0,2.0,2,3.0,0.0,15.0,0.0,3.0,207.0,0
25,1,0.0,1.0,15.0,1,0,2.0,3.0,2,5.0,2,8.0,0.0,22.0,1.0,4.0,142.0,1
26,0,8.0,3.0,6.0,3,1,3.0,3.0,0,4.0,0,2.0,0.0,13.0,1.0,6.0,173.0,1
27,0,26.0,3.0,12.0,3,1,2.0,3.0,3,3.0,0,3.0,1.0,20.0,0.0,5.0,123.0,1
28,0,18.0,1.0,15.0,2,1,2.0,3.0,3,4.0,1,9.0,0.0,18.0,1.0,15.0,123.0,1
29,0,5.0,3.0,14.0,3,0,2.0,3.0,0,2.0,2,2.0,0.0,14.0,2.0,7.0,190.0,0
31,0,0.0,1.0,13.0,1,0,2.0,4.0,3,3.0,0,3.0,0.0,17.0,1.0,0.0,1974.0,1
